"rfpr0","rfpr1","lopr1","xgpr1","lopr0","xgpr0"
0.372,0.628,0.910820692331813,0.746543765068054,0.089179307668187,0.253456234931946
0.434,0.566,0.835903412834653,0.523396611213684,0.164096587165347,0.476603388786316
0.358,0.642,0.805565237064012,0.769172251224518,0.194434762935988,0.230827748775482
0.526,0.474,0.762558265601724,0.516854166984558,0.237441734398276,0.483145833015442
0.518,0.482,0.856290248628322,0.608440518379211,0.143709751371678,0.391559481620789
0.358,0.642,0.851420081179942,0.573210060596466,0.148579918820058,0.426789939403534
0.5,0.5,0.72833540820776,0.478244364261627,0.27166459179224,0.521755635738373
0.634,0.366,0.75952125666713,0.359887570142746,0.24047874333287,0.640112429857254
0.396,0.604,0.87191234701681,0.561311185359955,0.12808765298319,0.438688814640045
0.376,0.624,0.70087772091684,0.651757657527924,0.29912227908316,0.348242342472076
0.29,0.71,0.908798630159717,0.892832338809967,0.0912013698402827,0.107167661190033
0.392,0.608,0.84632845110179,0.74108761548996,0.15367154889821,0.25891238451004
0.324,0.676,0.743350539292992,0.86143946647644,0.256649460707008,0.13856053352356
0.366,0.634,0.847644686546095,0.602173984050751,0.152355313453905,0.397826015949249
0.438,0.562,0.756298905116054,0.595510125160217,0.243701094883946,0.404489874839783
0.396,0.604,0.84920536732939,0.606570303440094,0.15079463267061,0.393429696559906
0.31,0.69,0.786553927195239,0.79070258140564,0.213446072804761,0.20929741859436
0.34,0.66,0.935513829873669,0.646603584289551,0.0644861701263308,0.353396415710449
0.428,0.572,0.722627076222932,0.612212777137756,0.277372923777068,0.387787222862244
0.442,0.558,0.812402361637486,0.704966068267822,0.187597638362514,0.295033931732178
0.448,0.552,0.85210643976894,0.738031446933746,0.14789356023106,0.261968553066254
0.416,0.584,0.852611809425927,0.530177533626556,0.147388190574073,0.469822466373444
0.512,0.488,0.803743693280019,0.645742833614349,0.196256306719981,0.354257166385651
0.394,0.606,0.92428671724402,0.539723753929138,0.0757132827559802,0.460276246070862
0.636,0.364,0.690922096998174,0.24887852370739,0.309077903001826,0.75112147629261
0.508,0.492,0.79064505830141,0.770384013652802,0.20935494169859,0.229615986347198
0.342,0.658,0.869987857954027,0.773849248886108,0.130012142045973,0.226150751113892
0.364,0.636,0.815206751871871,0.686747968196869,0.184793248128129,0.313252031803131
0.294,0.706,0.999999938295259,0.757126092910767,6.17047413165039e-08,0.242873907089233
0.364,0.636,0.899536455737586,0.644648253917694,0.100463544262414,0.355351746082306
0.388,0.612,0.883638597279631,0.65101170539856,0.116361402720369,0.34898829460144
0.482,0.518,0.610799867905083,0.733867108821869,0.389200132094917,0.266132891178131
0.642,0.358,0.623317541486831,0.346728146076202,0.376682458513169,0.653271853923798
0.424,0.576,0.866368828884098,0.473244220018387,0.133631171115902,0.526755779981613
0.512,0.488,0.868846915197358,0.531080305576324,0.131153084802642,0.468919694423676
0.522,0.478,0.811227635506517,0.471459746360779,0.188772364493483,0.528540253639221
0.64,0.36,0.619608865861949,0.368606120347977,0.380391134138051,0.631393879652023
0.374,0.626,0.872385131711214,0.834833085536957,0.127614868288786,0.165166914463043
0.496,0.504,0.684698237216835,0.664819359779358,0.315301762783165,0.335180640220642
0.42,0.58,0.871129151304186,0.493818998336792,0.128870848695814,0.506181001663208
0.408,0.592,0.880236285842046,0.589486479759216,0.119763714157954,0.410513520240784
0.482,0.518,0.77147372903723,0.546979308128357,0.22852627096277,0.453020691871643
0.382,0.618,0.806923969805611,0.499587506055832,0.193076030194389,0.500412493944168
0.488,0.512,0.689882929379973,0.549850642681122,0.310117070620027,0.450149357318878
0.564,0.436,0.706799405075351,0.340360820293427,0.293200594924649,0.659639179706573
0.332,0.668,0.89480310555224,0.437979847192764,0.10519689444776,0.562020152807236
0.434,0.566,0.765569786467226,0.734990954399109,0.234430213532774,0.265009045600891
0.43,0.57,0.691684356875853,0.64076179265976,0.308315643124147,0.35923820734024
0.472,0.528,0.913969081457104,0.5922771692276,0.0860309185428964,0.4077228307724
0.356,0.644,0.936701275984807,0.722322344779968,0.0632987240151928,0.277677655220032
0.218,0.782,0.930090249386528,0.777256190776825,0.0699097506134722,0.222743809223175
0.438,0.562,0.774882574266136,0.501097142696381,0.225117425733864,0.498902857303619
0.478,0.522,0.742519911006775,0.427983224391937,0.257480088993225,0.572016775608063
0.456,0.544,0.800772939515099,0.502551853656769,0.199227060484901,0.497448146343231
0.372,0.628,0.811660617110681,0.781720101833344,0.188339382889319,0.218279898166656
